[follow_user_motion_node.py-1] [INFO] [1762592191.999283041] [follow_user_motion_node]: Executing goal for user: user_1
[follow_user_motion_node.py-1] [INFO] [1762592213.348034560] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.21, 0.45), Robot(4.21, 0.45, 13.14 deg), Heading error: -13.14 deg, target_vel(0.50, -22.74), cmd_vel(0.16, -0.08)
[follow_user_motion_node.py-1] [INFO] [1762592213.395281975] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.21, 0.46), Robot(4.21, 0.46, 12.96 deg), Heading error: -12.96 deg, target_vel(0.50, -22.43), cmd_vel(0.16, -0.08)
[follow_user_motion_node.py-1] [INFO] [1762592213.445914593] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.22, 0.46), Robot(4.22, 0.46, 12.68 deg), Heading error: -12.68 deg, target_vel(0.50, -21.96), cmd_vel(0.15, -0.10)
[follow_user_motion_node.py-1] [INFO] [1762592213.501445001] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.23, 0.46), Robot(4.23, 0.46, 12.43 deg), Heading error: -12.43 deg, target_vel(0.50, -21.53), cmd_vel(0.15, -0.10)
[follow_user_motion_node.py-1] [INFO] [1762592213.548604708] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.24, 0.46), Robot(4.24, 0.46, 12.15 deg), Heading error: -12.15 deg, target_vel(0.50, -21.05), cmd_vel(0.17, -0.14)
[follow_user_motion_node.py-1] [INFO] [1762592213.600401429] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.24, 0.46), Robot(4.24, 0.46, 11.88 deg), Heading error: -11.88 deg, target_vel(0.50, -20.59), cmd_vel(0.17, -0.14)
[follow_user_motion_node.py-1] [INFO] [1762592213.648590106] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.25, 0.47), Robot(4.25, 0.47, 11.61 deg), Heading error: -11.61 deg, target_vel(0.50, -20.12), cmd_vel(0.17, -0.13)
[follow_user_motion_node.py-1] [INFO] [1762592213.705947131] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.26, 0.47), Robot(4.26, 0.47, 11.20 deg), Heading error: -11.20 deg, target_vel(0.50, -19.42), cmd_vel(0.17, -0.17)
[follow_user_motion_node.py-1] [INFO] [1762592213.772914805] [follow_user_motion_node]: Update 27-point path with the last point: (5.00, 0.36)
[follow_user_motion_node.py-1] [INFO] [1762592213.773827803] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.27, 0.47), Robot(4.27, 0.47, 10.70 deg), Heading error: -10.70 deg, target_vel(0.50, -18.57), cmd_vel(0.17, -0.17)
[follow_user_motion_node.py-1] [INFO] [1762592213.808936948] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.28, 0.47), Robot(4.28, 0.47, 10.19 deg), Heading error: -10.19 deg, target_vel(0.50, -17.70), cmd_vel(0.20, -0.21)
[follow_user_motion_node.py-1] [INFO] [1762592213.861640785] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.29, 0.47), Robot(4.29, 0.47, 9.74 deg), Heading error: -9.74 deg, target_vel(0.50, -16.92), cmd_vel(0.20, -0.21)
[follow_user_motion_node.py-1] [INFO] [1762592213.916294589] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.30, 0.47), Robot(4.30, 0.47, 8.65 deg), Heading error: -8.65 deg, target_vel(0.50, -15.04), cmd_vel(0.17, -0.22)
[follow_user_motion_node.py-1] [INFO] [1762592213.972208702] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.32, 0.47), Robot(4.32, 0.47, 7.99 deg), Heading error: -7.99 deg, target_vel(0.50, -13.91), cmd_vel(0.17, -0.22)
[follow_user_motion_node.py-1] [INFO] [1762592214.027892807] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.33, 0.47), Robot(4.33, 0.47, 7.20 deg), Heading error: -7.20 deg, target_vel(0.50, -12.53), cmd_vel(0.20, -0.27)
[follow_user_motion_node.py-1] [INFO] [1762592214.078299227] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.34, 0.47), Robot(4.34, 0.47, 6.61 deg), Heading error: -6.61 deg, target_vel(0.50, -11.51), cmd_vel(0.20, -0.27)
[follow_user_motion_node.py-1] [INFO] [1762592214.127079466] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.35, 0.47), Robot(4.35, 0.47, 5.90 deg), Heading error: -5.90 deg, target_vel(0.50, -10.28), cmd_vel(0.20, -0.28)
[follow_user_motion_node.py-1] [INFO] [1762592214.176522627] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.36, 0.47), Robot(4.36, 0.47, 5.31 deg), Heading error: -5.31 deg, target_vel(0.50, -9.25), cmd_vel(0.20, -0.28)
[follow_user_motion_node.py-1] [INFO] [1762592214.231924424] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.37, 0.47), Robot(4.37, 0.47, 4.47 deg), Heading error: -4.47 deg, target_vel(0.50, -7.80), cmd_vel(0.20, -0.29)
[follow_user_motion_node.py-1] [INFO] [1762592214.316785933] [follow_user_motion_node]: Update 26-point path with the last point: (5.00, 0.36)
[follow_user_motion_node.py-1] [INFO] [1762592214.317509560] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.39, 0.47), Robot(4.39, 0.47, 3.32 deg), Heading error: -3.32 deg, target_vel(0.50, -5.78), cmd_vel(0.20, -0.29)
[follow_user_motion_node.py-1] [INFO] [1762592214.352859300] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.40, 0.47), Robot(4.40, 0.47, 2.63 deg), Heading error: -2.63 deg, target_vel(0.50, -4.59), cmd_vel(0.20, -0.29)
[follow_user_motion_node.py-1] [INFO] [1762592214.402834867] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.41, 0.47), Robot(4.41, 0.47, 2.20 deg), Heading error: -2.20 deg, target_vel(0.50, -3.85), cmd_vel(0.20, -0.29)
[follow_user_motion_node.py-1] [INFO] [1762592214.449913970] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.42, 0.47), Robot(4.42, 0.47, 1.30 deg), Heading error: -1.30 deg, target_vel(0.49, -2.24), cmd_vel(0.20, -0.29)
[follow_user_motion_node.py-1] [INFO] [1762592214.508014754] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.43, 0.47), Robot(4.43, 0.47, 0.41 deg), Heading error: -0.41 deg, target_vel(0.48, -0.68), cmd_vel(0.20, -0.35)
[follow_user_motion_node.py-1] [INFO] [1762592214.555406263] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.44, 0.47), Robot(4.44, 0.47, -0.44 deg), Heading error: 0.44 deg, target_vel(0.47, 0.72), cmd_vel(0.20, -0.25)
[follow_user_motion_node.py-1] [INFO] [1762592214.614588362] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.45, 0.47), Robot(4.45, 0.47, -1.16 deg), Heading error: 1.16 deg, target_vel(0.47, 1.88), cmd_vel(0.20, -0.23)
[follow_user_motion_node.py-1] [INFO] [1762592214.655944559] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.46, 0.47), Robot(4.46, 0.47, -2.09 deg), Heading error: 2.09 deg, target_vel(0.45, 3.32), cmd_vel(0.20, -0.23)
[follow_user_motion_node.py-1] [INFO] [1762592214.712815799] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.46, 0.47), Robot(4.46, 0.47, -2.87 deg), Heading error: 2.87 deg, target_vel(0.45, 4.46), cmd_vel(0.20, -0.25)
[follow_user_motion_node.py-1] [INFO] [1762592214.757498408] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.47, 0.47), Robot(4.47, 0.47, -3.23 deg), Heading error: 3.23 deg, target_vel(0.44, 5.01), cmd_vel(0.20, -0.25)
[follow_user_motion_node.py-1] [INFO] [1762592214.822969309] [follow_user_motion_node]: Update 22-point path with the last point: (5.00, 0.36)
